card_id,name,faction,card_type,subtype,total_count,draw_deck_count,starting_zone,is_dragon,dragon_value,color_hex,rules_text,flavor_text,ability_timing,effect_actions,modifiers,special_flags,on_enter_json,on_turn_start_json,on_leave_json,play_steps_json,mechanics_json,artwork_path,has_unique_artwork
baby_dragon,Baby Dragon,Dragons,baby,,13,0,Nest,TRUE,1,#e8905a,"Fresh from the egg. If this card would leave your stable, return it to the Nest instead.",,When it would leave the stable,,,,,,,,{},/cards/baby_dragon.webp,TRUE
basic_azure,Azure Drake,Dragons,basic,,4,4,Draw deck,TRUE,1,#2e86c1,A Basic Dragon. No ability — just ambition.,It hoards rainwater and opinions.,None,,,,,,,,{},,FALSE
basic_crimson,Crimson Drake,Dragons,basic,,4,4,Draw deck,TRUE,1,#c0392b,A Basic Dragon. No ability — just ambition.,"All fire, no finesse.",None,,,,,,,,{},,FALSE
basic_gilded,Gilded Drake,Dragons,basic,,4,4,Draw deck,TRUE,1,#d4ac0d,A Basic Dragon. No ability — just ambition.,Shiny enough to count twice. It does not.,None,,,,,,,,{},,FALSE
basic_ivory,Ivory Drake,Dragons,basic,,4,4,Draw deck,TRUE,1,#aab7c4,A Basic Dragon. No ability — just ambition.,Suspiciously polite for a fire hazard.,None,,,,,,,,{},,FALSE
basic_obsidian,Obsidian Drake,Dragons,basic,,4,4,Draw deck,TRUE,1,#5d6d7e,A Basic Dragon. No ability — just ambition.,Broods dramatically at all hours.,None,,,,,,,,{},,FALSE
basic_verdant,Verdant Drake,Dragons,basic,,4,4,Draw deck,TRUE,1,#27ae60,A Basic Dragon. No ability — just ambition.,Sleeps in treetops. Snores pollen.,None,,,,,,,,{},/cards/basic_verdant.webp,TRUE
m_alluring,Alluring Wyvern,Dragons,magical,wyvern,1,1,Draw deck,TRUE,1,#af7ac5,"When this card enters your stable, you may STEAL an Upgrade.",,When entering a stable,steal,,,"[{""do"":""steal"",""chooser"":""owner"",""filter"":{""kind"":""upgrade"",""zone"":""others""},""optional"":true}]",,,,"{""onEnter"":[{""do"":""steal"",""chooser"":""owner"",""filter"":{""kind"":""upgrade"",""zone"":""others""},""optional"":true}]}",/cards/m_alluring.webp,TRUE
m_baron,Baron Dragon,Dragons,magical,,1,1,Draw deck,TRUE,1,#943126,"When this card enters your stable, pull a random card from another player’s hand into yours.",,When entering a stable,randomSteal,,,"[{""do"":""randomSteal"",""who"":""owner"",""optional"":false}]",,,,"{""onEnter"":[{""do"":""randomSteal"",""who"":""owner"",""optional"":false}]}",/cards/m_baron.webp,TRUE
m_battering,Battering Wyrm,Dragons,magical,,1,1,Draw deck,TRUE,1,#8e6f3e,"At the start of your turn, you may DESTROY a Dragon. If you do, skip straight to your End phase.",,Start of owner's turn,destroy; ifVar; skipToEnd,,,,"{""steps"":[{""do"":""destroy"",""chooser"":""owner"",""filter"":{""kind"":""dragon"",""zone"":""any""},""optional"":true,""saveDone"":""hit""},{""do"":""ifVar"",""var"":""hit"",""then"":[{""do"":""skipToEnd""}]}]}",,,"{""onTurnStart"":{""steps"":[{""do"":""destroy"",""chooser"":""owner"",""filter"":{""kind"":""dragon"",""zone"":""any""},""optional"":true,""saveDone"":""hit""},{""do"":""ifVar"",""var"":""hit"",""then"":[{""do"":""skipToEnd""}]}]}}",/cards/m_battering.webp,TRUE
m_bonescale,Bonescale Dragon,Dragons,magical,,1,1,Draw deck,TRUE,1,#909497,"When this card enters your stable, you may DISCARD a Dragon card. If you do, bring a Dragon from the discard pile into your stable.",,When entering a stable,costDiscardThen; fromDiscard,,,"[{""do"":""costDiscardThen"",""who"":""owner"",""filter"":{""types"":[""basic"",""magical""]},""then"":[{""do"":""fromDiscard"",""who"":""owner"",""filter"":{""types"":[""basic"",""magical""]},""to"":""stable"",""optional"":false}]}]",,,,"{""onEnter"":[{""do"":""costDiscardThen"",""who"":""owner"",""filter"":{""types"":[""basic"",""magical""]},""then"":[{""do"":""fromDiscard"",""who"":""owner"",""filter"":{""types"":[""basic"",""magical""]},""to"":""stable"",""optional"":false}]}]}",/cards/m_bonescale.webp,TRUE
m_cataclysm,Cataclysm Dragon,Dragons,magical,,1,1,Draw deck,TRUE,1,#7d3c98,"When this card enters your stable, each player must SACRIFICE a Dragon.",,When entering a stable,eachPlayer; sacrifice,,,"[{""do"":""eachPlayer"",""include"":""all"",""steps"":[{""do"":""sacrifice"",""who"":""each"",""filter"":{""kind"":""dragon""},""optional"":false}]}]",,,,"{""onEnter"":[{""do"":""eachPlayer"",""include"":""all"",""steps"":[{""do"":""sacrifice"",""who"":""each"",""filter"":{""kind"":""dragon""},""optional"":false}]}]}",/cards/m_cataclysm.webp,TRUE
m_colossal,Colossal Dragon,Dragons,magical,,1,1,Draw deck,TRUE,2,#6c3483,This card counts as 2 Dragons. You cannot play Instant cards.,,Continuous / special rule,,noInstantsSelf,countsAs=2,,,,,"{""countsAs"":2,""mods"":[""noInstantsSelf""]}",/cards/m_colossal.webp,TRUE
m_elder,Elder Wyvern,Dragons,magical,wyvern,1,1,Draw deck,TRUE,1,#76848c,"When this card enters your stable, you may search the deck for a Wyvern card and add it to your hand, then shuffle the deck.",,When entering a stable,searchDeck,,,"[{""do"":""searchDeck"",""who"":""owner"",""filter"":{""sub"":""wyvern""},""optional"":true}]",,,,"{""onEnter"":[{""do"":""searchDeck"",""who"":""owner"",""filter"":{""sub"":""wyvern""},""optional"":true}]}",/cards/m_elder.webp,TRUE
